"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"26","Michigan","26115","Monroe","2010","23%","",
"26","Michigan","26115","Monroe","2015","24%","",
"26","Michigan","26117","Montcalm","2010","7%","",
"26","Michigan","26117","Montcalm","2015","18%","",
"26","Michigan","26119","Montmorency","2010","5%","",
"26","Michigan","26119","Montmorency","2015","67%","",
"26","Michigan","26121","Muskegon","2010","34%","",
"26","Michigan","26121","Muskegon","2015","41%","",
"26","Michigan","26123","Newaygo","2010","12%","",
"26","Michigan","26123","Newaygo","2015","41%","",
"26","Michigan","26125","Oakland","2010","42%","",
"26","Michigan","26125","Oakland","2015","45%","",
"26","Michigan","26127","Oceana","2010","10%","",
"26","Michigan","26127","Oceana","2015","46%","",
"26","Michigan","26129","Ogemaw","2010","8%","",
"26","Michigan","26129","Ogemaw","2015","32%","",
"26","Michigan","26131","Ontonagon","2010","2%","",
"26","Michigan","26131","Ontonagon","2015","53%","",
"26","Michigan","26133","Osceola","2010","1%","",
"26","Michigan","26133","Osceola","2015","13%","",
"26","Michigan","26135","Oscoda","2010","0%","",
"26","Michigan","26135","Oscoda","2015","79%","",
"26","Michigan","26137","Otsego","2010","7%","",
"26","Michigan","26137","Otsego","2015","41%","",
"26","Michigan","26139","Ottawa","2010","32%","",
"26","Michigan","26139","Ottawa","2015","35%","",
"26","Michigan","26141","Presque Isle","2010","2%","",
"26","Michigan","26141","Presque Isle","2015","39%","",
"26","Michigan","26143","Roscommon","2010","3%","",
"26","Michigan","26143","Roscommon","2015","72%","",
"26","Michigan","26145","Saginaw","2010","19%","",
"26","Michigan","26145","Saginaw","2015","24%","",
"26","Michigan","26151","Sanilac","2010","8%","",
"26","Michigan","26151","Sanilac","2015","6%","",
"26","Michigan","26153","Schoolcraft","2010","4%","",
"26","Michigan","26153","Schoolcraft","2015","77%","",
"26","Michigan","26155","Shiawassee","2010","25%","",
"26","Michigan","26155","Shiawassee","2015","14%","",
"26","Michigan","26147","St. Clair","2010","30%","",
"26","Michigan","26147","St. Clair","2015","34%","",
"26","Michigan","26149","St. Joseph","2010","36%","",
"26","Michigan","26149","St. Joseph","2015","18%","",
"26","Michigan","26157","Tuscola","2010","0%","",
"26","Michigan","26157","Tuscola","2015","15%","",
"26","Michigan","26159","Van Buren","2010","14%","",
"26","Michigan","26159","Van Buren","2015","12%","",
"26","Michigan","26161","Washtenaw","2010","51%","",
"26","Michigan","26161","Washtenaw","2015","50%","",
"26","Michigan","26163","Wayne","2010","64%","",
"26","Michigan","26163","Wayne","2015","63%","",
"26","Michigan","26165","Wexford","2010","12%","",
"26","Michigan","26165","Wexford","2015","64%","",
